,Month,Day,TOTALDEMAND
,,,sum
0,1,1,174464.51000000004
1,1,2,173014.93999999997
2,1,3,195129.48999999996
3,1,4,233213.58999999997
4,1,5,256159.69000000012
5,1,6,272617.47
6,1,7,269910.04
7,1,8,245554.05000000002
8,1,9,232423.97999999998
9,1,10,240732.63999999996
10,1,11,223191.71
11,1,12,237567.89
12,1,13,222683.34999999995
13,1,14,177993.25000000006
14,1,15,180588.00000000003
15,1,16,241857.41000000003
16,1,17,281035.29999999993
17,1,18,222422.69999999995
18,1,19,224742.81999999998
19,1,20,215875.36999999997
20,1,21,193558.13999999998
21,1,22,206583.22
22,1,23,282664.1099999999
23,1,24,231328.31999999995
24,1,25,223873.40000000005
25,1,26,197180.12000000002
26,1,27,225027.63999999998
27,1,28,216673.06
28,1,29,218041.16
29,1,30,248585.9099999999
30,1,31,225726.02000000005
31,2,1,223739.08999999997
32,2,2,221338.53999999998
33,2,3,234904.53999999998
34,2,4,234723.4
35,2,5,220768.55000000005
36,2,6,217522.73999999996
37,2,7,223087.61999999994
38,2,8,284427.32
39,2,9,310121.2200000001
40,2,10,277587.18
41,2,11,223967.01999999996
42,2,12,178006.3
43,2,13,209688.21
44,2,14,223226.1
45,2,15,232598.78000000003
46,2,16,239895.18000000005
47,2,17,223771.94000000006
48,2,18,191246.69999999998
49,2,19,182560.04999999996
50,2,20,210683.72999999998
51,2,21,224702.94
52,2,22,233380.34000000003
53,2,23,235897.37
54,2,24,222459.04
55,2,25,190093.81000000006
56,2,26,200991.22999999995
57,2,27,262181.55
58,2,28,280335.0
59,3,1,269650.12999999995
60,3,2,255266.55000000005
61,3,3,248622.65999999995
62,3,4,232166.58999999997
63,3,5,207078.03999999998
64,3,6,232895.71
65,3,7,235862.92000000004
66,3,8,248741.5299999999
67,3,9,259298.5
68,3,10,250692.15000000005
69,3,11,217633.61999999997
70,3,12,205235.02
71,3,13,208937.79999999996
72,3,14,266455.57
73,3,15,279345.67
74,3,16,248511.95
75,3,17,223224.14999999997
76,3,18,215463.55999999994
77,3,19,227187.63999999998
78,3,20,263961.97
79,3,21,255250.73
80,3,22,229392.73999999996
81,3,23,223265.67
82,3,24,230822.82000000004
83,3,25,214931.96000000002
84,3,26,208378.19999999998
85,3,27,232474.4400000001
86,3,28,222065.95
87,3,29,219280.66000000003
88,3,30,214983.73999999996
89,3,31,221324.49000000008
90,4,1,190435.91
91,4,2,188954.19000000006
92,4,3,215791.04999999996
93,4,4,226277.34
94,4,5,228382.69999999995
95,4,6,229634.61000000004
96,4,7,220320.05000000002
97,4,8,198169.4799999999
98,4,9,192083.79
99,4,10,226574.11000000004
100,4,11,228319.93000000002
101,4,12,228671.99000000002
102,4,13,225408.08999999994
103,4,14,194872.81999999998
104,4,15,199217.13999999998
105,4,16,193189.48999999996
106,4,17,199890.99000000002
107,4,18,223910.34999999998
108,4,19,228873.94
109,4,20,225633.35999999993
110,4,21,229044.87999999998
111,4,22,205056.8
112,4,23,194713.12999999998
113,4,24,218843.63000000003
114,4,25,203097.47000000003
115,4,26,233590.49
116,4,27,252659.06
117,4,28,240288.38
118,4,29,209728.10000000003
119,4,30,207513.06999999995
120,5,1,225641.11999999994
121,5,2,241437.27999999994
122,5,3,258392.88999999996
123,5,4,254520.1
124,5,5,246300.77000000002
125,5,6,210026.14000000007
126,5,7,214848.14
127,5,8,251716.54000000007
128,5,9,253521.42
129,5,10,251495.46999999994
130,5,11,257506.26
131,5,12,247045.99999999997
132,5,13,218954.83999999994
133,5,14,214994.06
134,5,15,251743.83000000005
135,5,16,255641.43
136,5,17,250145.34999999998
137,5,18,245820.96000000008
138,5,19,246702.89999999997
139,5,20,218223.23000000004
140,5,21,211824.32
141,5,22,227102.07999999996
142,5,23,238254.41
143,5,24,243143.93999999997
144,5,25,248020.06000000003
145,5,26,246261.2000000001
146,5,27,209287.34999999995
147,5,28,220059.1
148,5,29,261032.20000000007
149,5,30,265524.76
150,5,31,278061.58999999997
151,6,1,274901.9799999999
152,6,2,273713.60000000003
153,6,3,244322.81
154,6,4,237907.90000000002
155,6,5,265754.8999999999
156,6,6,266549.06
157,6,7,272232.24
158,6,8,279023.5600000001
159,6,9,261989.08000000002
160,6,10,241397.82999999996
161,6,11,226748.93
162,6,12,235383.36999999997
163,6,13,270369.9
164,6,14,272506.84
165,6,15,270606.51000000007
166,6,16,270539.26999999996
167,6,17,242357.35999999987
168,6,18,232225.48000000004
169,6,19,269851.48
170,6,20,263993.93999999994
171,6,21,279628.60000000003
172,6,22,280697.14
173,6,23,264059.14999999997
174,6,24,244786.65000000002
175,6,25,236207.73
176,6,26,276080.75999999995
177,6,27,289053.25999999995
178,6,28,282703.79
179,6,29,276248.1200000001
180,6,30,278551.55000000005
181,7,1,246073.49999999997
182,7,2,240274.90000000002
183,7,3,279530.64
184,7,4,268059.61
185,7,5,268169.33
186,7,6,275799.42999999993
187,7,7,268156.13999999996
188,7,8,247375.94
189,7,9,232128.06
190,7,10,266264.64999999997
191,7,11,274705.56
192,7,12,276304.20999999996
193,7,13,269244.77999999997
194,7,14,262775.49
195,7,15,248973.39000000004
196,7,16,239855.28000000003
197,7,17,263736.48
198,7,18,272243.67000000004
199,7,19,267812.51999999996
200,7,20,278632.57999999996
201,7,21,280147.79
202,7,22,244794.26
203,7,23,236015.33000000005
204,7,24,272661.18
205,7,25,259398.53000000006
206,7,26,266396.68
207,7,27,272007.83
208,7,28,260864.1000000001
209,7,29,222662.47000000006
210,7,30,215160.99000000002
211,7,31,264553.76000000007
212,8,1,269640.45000000007
213,8,2,281458.37
214,8,3,302710.8599999999
215,8,4,283295.79
216,8,5,233392.90999999995
217,8,6,234702.27999999994
218,8,7,277926.35000000003
219,8,8,278216.86999999994
220,8,9,260088.75000000006
221,8,10,244723.85000000006
222,8,11,245724.69000000003
223,8,12,227338.90000000002
224,8,13,212549.12
225,8,14,243067.91
226,8,15,254386.6000000001
227,8,16,242890.76000000004
228,8,17,258447.60999999996
229,8,18,267125.97
230,8,19,249705.34000000003
231,8,20,239597.98999999993
232,8,21,280820.59
233,8,22,267618.91000000003
234,8,23,266113.64
235,8,24,271239.87999999995
236,8,25,267333.1499999999
237,8,26,234888.20000000004
238,8,27,230355.87
239,8,28,278828.99000000005
240,8,29,279628.08
241,8,30,275026.92999999993
242,8,31,267964.50999999995
243,9,1,251921.46000000002
244,9,2,228196.23
245,9,3,207928.65999999997
246,9,4,256002.11000000002
247,9,5,275393.3399999999
248,9,6,269639.88999999996
249,9,7,266811.43999999994
250,9,8,265086.1999999999
251,9,9,240908.02000000002
252,9,10,229168.13
253,9,11,254338.06000000003
254,9,12,261813.78
255,9,13,254384.62999999998
256,9,14,263973.6099999999
257,9,15,257523.20999999996
258,9,16,222603.12000000002
259,9,17,209532.0
260,9,18,230247.08000000002
261,9,19,248067.91000000003
262,9,20,246922.75999999998
263,9,21,238619.86
264,9,22,233222.49999999997
265,9,23,202024.57999999993
266,9,24,185216.48000000004
267,9,25,238252.97
268,9,26,248905.88000000003
269,9,27,238056.14
270,9,28,233311.70999999996
271,9,29,205694.51000000004
272,9,30,201403.64000000004
273,10,1,202308.27999999997
274,10,2,238452.84000000005
275,10,3,237712.83000000002
276,10,4,229209.24
277,10,5,226269.15999999995
278,10,6,236718.56
279,10,7,203949.19
280,10,8,194107.09000000005
281,10,9,222864.72999999998
282,10,10,233112.85
283,10,11,228267.07999999993
284,10,12,227915.47000000003
285,10,13,234097.45
286,10,14,204074.33000000002
287,10,15,196217.63000000003
288,10,16,231814.79000000004
289,10,17,234940.43999999994
290,10,18,242174.19999999995
291,10,19,236402.35
292,10,20,216825.33000000005
293,10,21,204391.95000000004
294,10,22,201142.07999999993
295,10,23,231098.86999999997
296,10,24,236020.62
297,10,25,231626.05999999994
298,10,26,234666.89
299,10,27,225266.53000000003
300,10,28,201492.83999999994
301,10,29,184365.91
302,10,30,224455.30000000008
303,10,31,232358.94000000003
304,11,1,228726.03999999992
305,11,2,240941.57000000004
306,11,3,226903.98999999996
307,11,4,203221.62999999995
308,11,5,190736.33000000002
309,11,6,209265.58
310,11,7,201184.59
311,11,8,223476.97
312,11,9,227079.87
313,11,10,230312.88999999996
314,11,11,208388.68999999997
315,11,12,197548.46999999994
316,11,13,251591.68000000005
317,11,14,270841.63999999996
318,11,15,260770.09999999998
319,11,16,233431.93000000002
320,11,17,235595.24000000008
321,11,18,213460.42
322,11,19,202513.56
323,11,20,257316.53999999995
324,11,21,274302.99
325,11,22,277764.5
326,11,23,270324.23000000004
327,11,24,267902.58
328,11,25,242439.18999999997
329,11,26,217435.75
330,11,27,230858.01
331,11,28,259596.93999999992
332,11,29,303461.8999999999
333,11,30,309264.67000000004
334,12,1,245039.11999999997
335,12,2,198468.43999999997
336,12,3,184975.40999999997
337,12,4,223251.96000000002
338,12,5,226127.34999999998
339,12,6,230766.26
340,12,7,231473.93999999997
341,12,8,219136.93999999997
342,12,9,198669.60000000003
343,12,10,195430.02000000002
344,12,11,229360.37
345,12,12,243890.35000000003
346,12,13,293866.19
347,12,14,258561.62000000002
348,12,15,241642.10999999993
349,12,16,220308.72000000006
350,12,17,214425.68000000002
351,12,18,277899.35
352,12,19,285740.79000000004
353,12,20,229833.97999999992
354,12,21,228925.06000000006
355,12,22,232857.58000000005
356,12,23,218728.02
357,12,24,185712.45999999993
358,12,25,170188.74999999997
359,12,26,197277.71
360,12,27,257507.50999999998
361,12,28,261398.30999999994
362,12,29,231144.09
363,12,30,192717.95
364,12,31,191400.96
